"tag","icon"
ajax,ajax
android,android
c++,c++
c#,csharp
css3,css3
debian,debian
django,django
excel,excel
facebook-api,facebook-api
highcharts,highcharts
html,html
java,java
javascript,javascript
lua,lua
ms-access,ms-access
oracle,oracle
pdf,pdf
php,php
python,python
ruby-on-rails,ruby-on-rails
sql-server,sql-server
sql-server-2012,sql-server
swift,swift
swift2,swift
swift3,swift
unity3d,unity3d
windows10,windows10
xml,xml
