"year","count","tag1","tag2","rank1","rank2"
2017,960,python,tkinter,12,1
2017,298,python-3.x,tkinter,4,3
2017,331,sql,transacciones,46,1
2017,257,sql-server,transacciones,36,3
2017,1053,sql,tsql,12,1
2017,805,sql-server,tsql,5,2
2017,493,python,tweepy,34,1
2017,3086,javascript,typescript,33,1
2017,2593,php,typescript,24,2
2017,595,sql,typescript,28,4
2017,452,angularjs-2.0,typescript,2,5
2017,354,nodejs,typescript,10,7
2017,4127,php,ubuntu,12,1
2017,3490,javascript,ubuntu,27,2
2017,2716,java,ubuntu,45,3
2017,1900,mysql,ubuntu,19,5
2017,1810,jquery,ubuntu,21,6
2017,1637,html,ubuntu,33,7
2017,1307,python,ubuntu,4,9
2017,1239,c++,ubuntu,11,10
2017,1132,sql,ubuntu,8,12
2017,578,html5,ubuntu,49,17
2017,555,sql-server,ubuntu,17,18
2017,528,c,ubuntu,15,19
2017,505,laravel,ubuntu,11,21
2017,425,laravel-5,ubuntu,10,22
2017,400,json,ubuntu,27,23
2017,337,python-3.x,ubuntu,2,27
2017,333,nodejs,ubuntu,14,28
2017,327,django,ubuntu,36,29
2017,315,linux,ubuntu,5,31
2017,284,mysqli,ubuntu,18,32
2017,620,python,unicode,28,1
2017,516,sql,unix,32,1
2017,395,python,unix,41,2
2017,272,laravel,vagrant,44,2
2017,234,laravel-5,vagrant,35,4
2017,3855,c#,vb.net,10,1
2017,3669,php,vb.net,15,2
2017,3520,javascript,vb.net,26,3
2017,2748,java,vb.net,44,4
2017,2079,mysql,vb.net,15,8
2017,1705,sql,vb.net,2,9
2017,1586,html,vb.net,36,10
2017,1578,jquery,vb.net,27,11
2017,1202,sql-server,vb.net,1,15
2017,1016,asp.net,vb.net,11,16
2017,896,c++,vb.net,25,18
2017,612,html5,vb.net,44,23
2017,555,python,vb.net,31,24
2017,509,c,vb.net,17,25
2017,434,.net,vb.net,4,26
2017,412,json,vb.net,25,28
2017,352,mysqli,vb.net,9,32
2017,324,asp.net-mvc,vb.net,36,35
2017,278,regex,vb.net,4,36
2017,259,bootstrap,vb.net,59,37
2017,234,asp.net-mvc-5,vb.net,37,40
2017,827,sql,vb6,15,1
2017,534,sql-server,vb6,19,2
2017,349,vb.net,vb6,9,3
2017,2034,php,vba,40,1
2017,957,sql,vba,14,2
2017,609,sql-server,vba,11,4
2017,312,excel,vba,3,5
2017,291,vb.net,vba,11,6
2017,422,laravel,vistas,19,1
2017,1119,c++,visual-c++,15,1
2017,399,c,visual-c++,33,3
2017,3929,c#,visual-studio,7,1
2017,2732,javascript,visual-studio,37,2
2017,2679,php,visual-studio,21,4
2017,2469,java,visual-studio,53,5
2017,1583,mysql,visual-studio,25,8
2017,1337,sql,visual-studio,5,9
2017,1257,jquery,visual-studio,40,10
2017,1106,c++,visual-studio,16,11
2017,1023,asp.net,visual-studio,10,12
2017,951,sql-server,visual-studio,2,13
2017,666,vb.net,visual-studio,1,17
2017,457,python,visual-studio,39,22
2017,444,c,visual-studio,27,23
2017,368,.net,visual-studio,13,25
2017,324,json,visual-studio,42,28
2017,322,asp.net-mvc,visual-studio,37,29
2017,240,asp.net-mvc-5,visual-studio,36,32
2017,2559,c#,visual-studio-2013,27,1
2017,681,asp.net,visual-studio-2013,29,3
2017,651,sql,visual-studio-2013,27,4
2017,558,sql-server,visual-studio-2013,15,5
2017,451,vb.net,visual-studio-2013,5,6
2017,3508,c#,visual-studio-2015,13,1
2017,2202,php,visual-studio-2015,32,2
2017,1321,mysql,visual-studio-2015,30,4
2017,1099,jquery,visual-studio-2015,50,6
2017,1074,sql,visual-studio-2015,10,7
2017,902,asp.net,visual-studio-2015,17,8
2017,770,sql-server,visual-studio-2015,6,10
2017,767,c++,visual-studio-2015,30,11
2017,503,vb.net,visual-studio-2015,3,15
2017,390,c,visual-studio-2015,36,18
2017,352,asp.net-mvc,visual-studio-2015,32,19
2017,351,asp.net-mvc-5,visual-studio-2015,9,20
2017,318,.net,visual-studio-2015,29,21
2017,291,json,visual-studio-2015,48,23
2017,237,visual-studio,visual-studio-2015,3,27
2017,407,sql,wcf,39,2
2017,348,sql-server,wcf,26,3
2017,666,python,while,24,1
2017,4287,php,windows,9,1
2017,3896,javascript,windows,21,2
2017,3612,java,windows,20,3
2017,2507,android,windows,54,7
2017,2358,c#,windows,32,8
2017,2170,mysql,windows,14,10
2017,1823,html,windows,28,12
2017,1753,jquery,windows,22,13
2017,1276,sql,windows,6,16
2017,1258,c++,windows,10,17
2017,1252,python,windows,5,18
2017,734,android-studio,windows,23,25
2017,711,css,windows,45,26
2017,680,sql-server,windows,10,27
2017,629,html5,windows,40,28
2017,616,c,windows,11,30
2017,545,ajax,windows,46,33
2017,498,asp.net,windows,54,34
2017,457,json,windows,16,35
2017,428,vb.net,windows,6,37
2017,363,mysqli,windows,8,42
2017,359,nodejs,windows,9,43
2017,338,python-3.x,windows,1,45
2017,304,angularjs,windows,58,49
2017,287,linux,windows,7,52
2017,270,css3,windows,45,55
2017,270,django,windows,48,56
2017,257,.net,windows,50,57
2017,248,bootstrap,windows,61,58
2017,194,android-layout,windows,46,61
2017,171,laravel,windows,60,63
2017,167,asp.net-mvc,windows,63,64
2017,3891,c#,windows-forms,9,1
2017,1705,php,windows-forms,41,3
2017,1016,sql,windows-forms,13,5
2017,1004,mysql,windows-forms,42,6
2017,874,asp.net,windows-forms,18,7
2017,825,sql-server,windows-forms,4,8
2017,630,vb.net,windows-forms,2,11
2017,346,.net,windows-forms,19,14
2017,273,asp.net-mvc,windows-forms,51,20
2017,260,visual-studio,windows-forms,2,22
2017,239,json,windows-forms,57,23
2017,191,asp.net-mvc-5,windows-forms,41,25
2017,182,visual-studio-2015,windows-forms,2,26
2017,710,sql,windows10,20,1
2017,422,sql-server,windows10,23,2
2017,2090,php,woocommerce,36,1
2017,300,laravel,woocommerce,31,3
2017,249,laravel-5,woocommerce,34,4
2017,4987,php,wordpress,5,1
2017,4427,javascript,wordpress,15,2
2017,2510,java,wordpress,50,4
2017,2141,html,wordpress,24,7
2017,2072,jquery,wordpress,15,8
2017,2021,mysql,wordpress,17,9
2017,1085,sql,wordpress,9,12
2017,1021,css,wordpress,21,13
2017,789,html5,wordpress,26,16
2017,591,ajax,wordpress,38,18
2017,478,sql-server,wordpress,21,19
2017,475,python,wordpress,37,20
2017,431,css3,wordpress,17,21
2017,405,laravel,wordpress,21,22
2017,388,json,wordpress,29,24
2017,336,laravel-5,wordpress,20,27
2017,331,bootstrap,wordpress,39,28
2017,329,mysqli,wordpress,13,29
2017,313,nodejs,wordpress,17,32
2017,282,regex,wordpress,3,34
2017,2594,c#,wpf,26,1
2017,706,sql,wpf,21,3
2017,607,asp.net,wpf,37,4
2017,562,sql-server,wpf,14,5
2017,424,vb.net,wpf,7,6
2017,293,windows-forms,wpf,1,8
2017,667,sql,xamarin,26,1
2017,517,sql-server,xamarin,20,2
2017,4229,php,xampp,10,1
2017,1803,mysql,xampp,21,2
2017,1501,jquery,xampp,32,4
2017,918,python,xampp,13,5
2017,798,sql,xampp,17,6
2017,377,laravel,xampp,23,9
2017,348,mysqli,xampp,10,10
2017,314,laravel-5,xampp,22,11
2017,778,c++,xcode,28,1
2017,250,ios,xcode,9,5
2017,117,swift,xcode,5,6
2017,5043,php,xml,4,1
2017,4477,javascript,xml,14,2
2017,4302,java,xml,14,3
2017,3792,android,xml,13,5
2017,2697,c#,xml,22,7
2017,2243,mysql,xml,12,9
2017,2201,html,xml,21,10
2017,2021,jquery,xml,17,13
2017,1357,sql,xml,4,15
2017,1237,c++,xml,12,16
2017,1082,python,xml,10,18
2017,1005,android-studio,xml,7,20
2017,915,css,xml,26,21
2017,791,html5,xml,23,22
2017,757,sql-server,xml,7,23
2017,697,asp.net,xml,27,25
2017,680,ajax,xml,33,26
2017,567,c,xml,13,30
2017,519,json,xml,10,31
2017,487,laravel,xml,12,33
2017,464,vb.net,xml,4,35
2017,388,laravel-5,xml,13,40
2017,381,css3,xml,23,41
2017,370,angularjs,xml,53,44
2017,346,mysqli,xml,11,45
2017,340,nodejs,xml,13,46
2017,326,bootstrap,xml,42,48
2017,315,regex,xml,2,49
2017,284,android-layout,xml,35,52
2017,259,.net,xml,49,55
2017,234,windows-forms,xml,2,58
2017,219,asp.net-mvc,xml,57,60
2017,467,sql,zip,34,1
2017,321,sql-server,zip,31,3
2017,275,vb.net,zip,13,4
