"year","count","tag1","tag2","rank1","rank2"
2017,1392,html,http,45,1
2017,623,css,http,51,4
2017,544,html5,http,55,7
2017,325,angularjs,http,57,8
2017,272,django,http,47,9
2017,243,css3,http,53,10
2017,1932,c#,iis,50,1
2017,648,asp.net,iis,33,3
2017,216,asp.net-mvc,iis,58,6
2017,1566,html,ionic,37,1
2017,742,css,ionic,39,4
2017,667,angularjs,ionic,38,5
2017,604,html5,ionic,45,7
2017,386,angularjs-2.0,ionic,5,9
2017,320,css3,ionic,28,10
2017,2113,android,ios,63,2
2017,1262,html,ios,50,3
2017,670,android-studio,ios,32,6
2017,621,css,ios,52,8
2017,480,html5,ios,59,10
2017,280,css3,ios,40,13
2017,226,angularjs,ios,64,15
2017,122,android-layout,ios,60,16
2017,77,ios,iphone,15,2
2017,5842,android,java,1,1
2017,3689,c#,java,11,3
2017,3561,html,java,7,4
2017,1552,android-studio,java,1,7
2017,1470,c++,java,3,8
2017,1434,css,java,13,9
2017,1256,html5,java,10,10
2017,1088,ajax,java,12,12
2017,873,asp.net,java,19,15
2017,866,angularjs,java,24,17
2017,669,c,java,7,20
2017,552,css3,java,11,22
2017,552,bootstrap,java,19,23
2017,393,android-layout,java,9,29
2017,389,django,java,26,30
2017,387,.net,java,11,31
2017,308,excel,java,5,35
2017,301,eclipse,java,2,37
2017,299,asp.net-mvc,java,46,38
2017,294,firebase,java,1,39
2017,285,codeigniter,java,10,40
2017,250,asp.net-mvc-5,java,30,43
2017,242,google-maps,java,8,44
2017,217,apache,java,10,45
2017,214,git,java,2,46
2017,207,ionic,java,13,48
2017,2900,java,java-ee,38,1
2017,3118,java,java-swing,34,2
2017,6194,java,javascript,2,1
2017,5426,html,javascript,1,2
2017,4557,c#,javascript,1,4
2017,3725,android,javascript,15,6
2017,2171,css,javascript,2,9
2017,2010,html5,javascript,1,10
2017,1884,ajax,javascript,1,11
2017,1512,c++,javascript,2,14
2017,1396,angularjs,javascript,2,16
2017,1354,asp.net,javascript,2,17
2017,1091,android-studio,javascript,3,19
2017,967,bootstrap,javascript,1,20
2017,878,css3,javascript,1,21
2017,694,c,javascript,4,24
2017,561,angularjs-2.0,javascript,1,29
2017,530,asp.net-mvc,javascript,5,31
2017,519,django,javascript,8,32
2017,503,codeigniter,javascript,2,33
2017,445,.net,javascript,3,35
2017,418,asp.net-mvc-5,javascript,2,36
2017,344,ionic,javascript,2,41
2017,321,excel,javascript,2,42
2017,278,google-maps,javascript,3,45
2017,258,apache,javascript,3,46
2017,253,android-layout,javascript,37,48
2017,210,git,javascript,3,50
2017,105,ios,javascript,14,55
2017,10432,javascript,jquery,1,1
2017,5367,java,jquery,5,3
2017,4728,html,jquery,3,4
2017,3936,c#,jquery,6,6
2017,3354,android,jquery,26,8
2017,1928,css,jquery,3,11
2017,1793,ajax,jquery,3,12
2017,1768,html5,jquery,3,13
2017,1230,asp.net,jquery,4,16
2017,974,android-studio,jquery,8,19
2017,957,angularjs,jquery,13,20
2017,880,bootstrap,jquery,3,21
2017,878,c++,jquery,26,22
2017,803,css3,jquery,4,24
2017,473,asp.net-mvc,jquery,9,30
2017,470,c,jquery,22,31
2017,456,django,jquery,15,32
2017,448,codeigniter,jquery,4,33
2017,397,asp.net-mvc-5,jquery,4,34
2017,374,.net,jquery,12,37
2017,271,excel,jquery,6,42
2017,238,android-layout,jquery,39,44
2017,227,apache,jquery,8,46
2017,212,ionic,jquery,11,47
2017,207,google-maps,jquery,12,49
2017,197,git,jquery,6,50
2017,2981,javascript,jquery-ui,35,1
2017,1534,jquery,jquery-ui,29,2
2017,1432,jquery,jquery-validate,33,1
2017,3315,java,jsf,26,1
2017,7290,javascript,json,5,1
2017,4777,java,json,11,2
2017,3750,jquery,json,4,6
2017,3714,android,json,16,7
2017,3277,html,json,9,8
2017,2927,c#,json,17,9
2017,1245,css,json,15,13
2017,1153,ajax,json,9,15
2017,1110,html5,json,14,16
2017,1041,android-studio,json,6,18
2017,794,angularjs,json,26,20
2017,727,asp.net,json,24,22
2017,582,c++,json,40,23
2017,516,bootstrap,json,23,28
2017,495,css3,json,14,29
2017,421,c,json,30,31
2017,402,angularjs-2.0,json,4,34
2017,359,django,json,31,36
2017,303,asp.net-mvc,json,42,39
2017,301,.net,json,34,40
2017,293,codeigniter,json,9,41
2017,274,asp.net-mvc-5,json,25,43
2017,256,android-layout,json,36,44
2017,210,ionic,json,12,47
2017,202,google-maps,json,13,49
2017,118,ios,json,13,52
2017,2609,java,jsp,48,2
2017,2114,javascript,jsp,51,4
2017,1130,jquery,jsp,46,6
2017,1061,html,jsp,60,8
2017,426,html5,jsp,62,10
2017,225,json,jsp,61,13
2017,196,css3,jsp,61,14
2017,4719,javascript,laravel,13,1
2017,2800,java,laravel,39,2
2017,2514,jquery,laravel,8,3
2017,2262,html,laravel,18,4
2017,866,css,laravel,29,9
2017,827,html5,laravel,19,10
2017,809,ajax,laravel,24,11
2017,545,json,laravel,9,13
2017,442,angularjs,laravel,52,16
2017,345,css3,laravel,27,18
2017,342,bootstrap,laravel,38,19
2017,289,django,laravel,41,21
2017,332,laravel,laravel-4,29,1
2017,3554,javascript,laravel-5,24,1
2017,1859,jquery,laravel-5,20,3
2017,1640,html,laravel-5,32,4
2017,1074,laravel,laravel-5,2,7
2017,633,ajax,laravel-5,35,9
2017,620,css,laravel-5,54,10
2017,570,html5,laravel-5,51,13
2017,453,json,laravel-5,17,14
2017,252,bootstrap,laravel-5,60,17
2017,517,laravel,laravel-blade,10,1
2017,425,laravel-5,laravel-blade,9,2
2017,2502,c#,linq,29,1
2017,689,asp.net,linq,28,3
2017,253,asp.net-mvc,linq,54,8
2017,234,.net,linq,58,9
2017,187,asp.net-mvc-5,linq,42,10
2017,4391,javascript,linux,16,1
2017,3343,java,linux,25,2
2017,2485,android,linux,56,6
2017,2031,html,linux,26,7
2017,1967,jquery,linux,19,8
2017,1331,c++,linux,8,10
2017,874,css,linux,28,12
2017,748,android-studio,linux,21,14
2017,683,html5,linux,34,17
2017,663,c,linux,9,18
2017,550,ajax,linux,45,19
2017,451,json,linux,18,20
2017,442,laravel,linux,17,22
2017,347,css3,linux,26,27
2017,346,laravel-5,linux,16,28
2017,279,bootstrap,linux,53,33
2017,279,django,linux,42,34
2017,274,laravel,magento2,43,1
2017,224,laravel-5,magento2,41,2
2017,369,laravel,mariadb,25,1
2017,308,laravel-5,mariadb,23,2
2017,264,laravel,model-view-controller,46,1
2017,220,laravel-5,model-view-controller,43,2
2017,2104,javascript,mongodb,52,1
2017,229,json,mongodb,59,5
2017,197,django,mongodb,58,6
2017,8416,javascript,mysql,3,1
2017,6619,java,mysql,1,2
2017,4509,jquery,mysql,2,4
2017,4327,html,mysql,4,6
2017,4299,c#,mysql,4,7
2017,3752,android,mysql,14,9
2017,1745,css,mysql,6,13
2017,1547,html5,mysql,6,14
2017,1512,ajax,mysql,5,15
2017,1427,c++,mysql,5,16
2017,1123,asp.net,mysql,7,19
2017,1069,android-studio,mysql,5,20
2017,934,json,mysql,2,22
2017,932,laravel,mysql,3,23
2017,906,angularjs,mysql,19,24
2017,748,bootstrap,mysql,11,26
2017,747,laravel-5,mysql,2,27
2017,729,c,mysql,3,28
2017,680,css3,mysql,6,29
2017,482,codeigniter,mysql,3,35
2017,433,.net,mysql,5,39
2017,399,linux,mysql,2,43
2017,375,asp.net-mvc,mysql,27,44
2017,330,django,mysql,35,46
2017,317,asp.net-mvc-5,mysql,17,47
2017,311,excel,mysql,4,49
2017,256,apache,mysql,4,54
2017,247,ionic,mysql,9,56
2017,217,google-maps,mysql,10,58
2017,209,git,mysql,4,59
2017,205,android-layout,mysql,44,61
2017,176,jsp,mysql,2,64
2017,1666,mysql,mysql-workbench,23,1
2017,5160,javascript,mysqli,11,1
2017,3342,mysql,mysqli,3,2
2017,3000,java,mysqli,36,3
2017,2772,jquery,mysqli,6,5
2017,2693,html,mysqli,12,7
2017,2587,android,mysqli,53,8
2017,2187,c#,mysqli,43,10
2017,1124,css,mysqli,18,15
2017,996,html5,mysqli,15,16
2017,898,ajax,mysqli,19,17
2017,765,android-studio,mysqli,19,19
2017,591,laravel,mysqli,7,21
2017,568,asp.net,mysqli,42,22
2017,558,json,mysqli,8,23
2017,492,c,mysqli,18,25
2017,490,css3,mysqli,15,26
2017,480,laravel-5,mysqli,5,27
2017,436,bootstrap,mysqli,26,28
